latitude,longitude,source_id,id,group_id,street_no,street,str_name,str_type,str_dir,unit,city,postal_code,full_addr,city_pcs,str_name_pcs,str_type_pcs,str_dir_pcs,csduid,csdname,pruid,provider
50.68596,-120.3447,,3.13E+17,7473350,243,FAIRVIEW AVE,FAIRVIEW,AVE,,,,,243 FAIRVIEW AVE,KAMLOOPS,FAIRVIEW,AVE,,5933042,Kamloops,59,Kamloops
49.21012,-122.93182,,2.79E+18,7269192,1116,HAMILTON ST,,,,410,NEW WESTMINSTER,V3M 2M9,410 1116 HAMILTON ST,NEW WESTMINSTER,HAMILTON,ST,,5915029,New Westminster,59,City of New Westminster
49.20906,-123.1265,12818640,3.71E+18,7229470,8529,LAUREL ST,,,,,,,8529 LAUREL ST,VANCOUVER,LAUREL,ST,,5915022,Vancouver,59,Vancouver
49.25639,-122.95421,,5.14E+18,7235386,3088,ROYCROFT CT,ROYCROFT,CT,,,,,3088 ROYCROFT CT,BURNABY,ROYCROFT,CT,,5915025,Burnaby,59,Burnaby
50.69292,-120.36379,,5.33E+18,7477999,371,POPLAR ST,POPLAR,ST,,,,,371 POPLAR ST,KAMLOOPS,POPLAR,ST,,5933042,Kamloops,59,Kamloops
49.21762,-122.89559,,6.34E+18,7276428,60,RICHMOND ST,,,,301,NEW WESTMINSTER,V3L 5R7,301 60 RICHMOND ST,NEW WESTMINSTER,RICHMOND,ST,,5915029,New Westminster,59,City of New Westminster
49.25059,-122.85725,,9.70E+18,7300189,523,Gatensbury St,Gatensbury,St,,327,,V3J 5E8,523 Gatensbury St 327,COQUITLAM,GATENSBURY,ST,,5915034,Coquitlam,59,Coquitlam
49.28305,-122.79649,,1.19E+19,7293781,2973,Glen Dr,Glen,Dr,,911,,V3B 2P7,2973 Glen Dr 911,COQUITLAM,GLEN,DR,,5915034,Coquitlam,59,Coquitlam
49.24591,-122.89062,,1.67E+19,7300080,511,Rochester Ave,Rochester,Ave,,1702,,V3K 0A2,511 Rochester Ave 1702,COQUITLAM,ROCHESTER,AVE,,5915034,Coquitlam,59,Coquitlam
50.14242,-119.49926,3749,1.68E+19,7537318,7655 N,WESTSIDE RD,WESTSIDE,RD,,,,,7655 N WESTSIDE RD,CENTRAL-OKANAGAN-REGIONAL-DISTRICT,WESTSIDE,RD,,5935020,Central Okanagan J,59,Regional District of Central Okanagan
50.64277,-120.36294,,1.82E+19,7470892,2134,VAN HORNE DR,VAN HORNE,DR,,,,,2134 VAN HORNE DR,KAMLOOPS,VAN HORNE,DR,,5933042,Kamloops,59,Kamloops
49.21551,-122.89841,,2.39E+19,7272985,245,FRANCIS WAY,,,,27,NEW WESTMINSTER,V3L 0A7,27 245 FRANCIS WAY,NEW WESTMINSTER,FRANCIS,WAY,,5915029,New Westminster,59,City of New Westminster
49.26747,-123.06325,15330150,2.41E+19,7156533,2022,E 3RD AV,,,,,,,2022 E 3RD AV,VANCOUVER,3,AV,E,5915022,Vancouver,59,Vancouver
