latitude,longitude,source_id,id,group_id,street_no,street,str_name,str_type,str_dir,unit,city,postal_code,full_addr,city_pcs,str_name_pcs,str_type_pcs,str_dir_pcs,csduid,csdname,pruid,provider
49.51339,-123.92882,16876,0cb0618b0d856f706e21,7449082,9185,TRUMAN RD,TRUMAN,RD, ,,SUNSHINE COAST, ,9185 TRUMAN RD,SUNSHINE COAST,TRUMAN,RD,,5929022,Sunshine Coast B,59,Sunshine Coast Regional District
49.2269,-123.06379,13597230,0cb09e5ffcd172e873c6,7158196,2098,WAVERLEY AV,,,,,,,2098 WAVERLEY AV,VANCOUVER,WAVERLEY,AV,,5915022,Vancouver,59,Vancouver
48.44699,-123.383,,0cb0c2fbe3b59a048159,7381207,3155,BALFOUR AVE,,,,,,,3155 BALFOUR AVE,VICTORIA,BALFOUR,AVE,,5917034,Victoria,59,City of Victoria
48.42884,-123.36324,,0cb0c72d8506ea3c2397,7384912,732,CORMORANT ST,,,,102,,,102 732 CORMORANT ST,VICTORIA,CORMORANT,ST,,5917034,Victoria,59,City of Victoria
49.0629,-122.24607,,0cb10949b9dba8ba6438,6997450,35315,PURCELL AVE,,,,,,,35315 PURCELL AVE,ABBOTSFORD,PURCELL,AVE,,5909052,Abbotsford,59,City of Abbotsford
49.25598,-123.15605,11111810,0cb10b3ba0f359b3e805,7160854,2216,W 18TH AV,,,,,,,2216 W 18TH AV,VANCOUVER,18,AV,W,5915022,Vancouver,59,Vancouver
49.67923,-125.00382,,0cb11d871454167c800d,7428834,1150,Cumberland Road,,,,,,,1150 Cumberland Road,COURTENAY,CUMBERLAND,RD,,5926010,Courtenay,59,City of Courtenay
49.29919,-122.81218,,0cb158e6e1ac9c1553d0,7285339,1523,Bramble Lane,Bramble,Lane,,,,V3E 2S7,1523 Bramble Lane,COQUITLAM,BRAMBLE,LANE,,5915034,Coquitlam,59,Coquitlam
49.1962,-122.78169,,0cb172dfd34b818b7744,7079635,15895,106A Ave,106A,Ave,,,SURREY,,15895 106A Ave,SURREY,106A,AVE,,5915004,Surrey,59,Surrey
49.25128,-123.05522,6871640,0cb195daa4da1d6fa79e,7165508,2458,E 21ST AV,,,,,,,2458 E 21ST AV,VANCOUVER,21,AV,E,5915022,Vancouver,59,Vancouver
49.12031,-122.85016,,0cb1ad1058bb0b3f1768,7055956,13429,64A Ave,64A,Ave,,,SURREY,,13429 64A Ave,SURREY,64A,AVE,,5915004,Surrey,59,Surrey
49.22186,-124.02447,,0cb1c823a3cb638a1515,7417036,5171,SAM'S WAY,,,,,,V9T 6C4,5171 SAM'S WAY,NANAIMO,SAM,WAY,,5921007,Nanaimo,59,Nanaimo
