latitude,longitude,source_id,id,group_id,street_no,street,str_name,str_type,str_dir,unit,city,postal_code,full_addr,city_pcs,str_name_pcs,str_type_pcs,str_dir_pcs,csduid,csdname,pruid,provider
50.66357,-120.31865,,1319cb511e1c43172c64,7461854,1089,MCMURDO DR,MCMURDO,DR,,,,,1089 MCMURDO DR,KAMLOOPS,MCMURDO,DR,,5933042,Kamloops,59,Kamloops
48.4703,-123.2939,LCA008805,1319d87b4b34787c730d,7345334,2495,SHANNON PL,SHANNON,PL,,,,,2495 SHANNON PL,SAANICH,SHANNON,PL,,5917021,Saanich,59,Saanich
49.41267,-123.49574,25572,131a1947a034a14658c4,7454397,805,MARINE DR,MARINE,DR, ,,SUNSHINE COAST, ,805 MARINE DR,SUNSHINE COAST,MARINE,DR,,5929028,Sunshine Coast F,59,Sunshine Coast Regional District
49.05008,-122.77096,,131a396a2745bbe0d039,7082295,16267,26A Ave,26A,Ave,,,SURREY,,16267 26A Ave,SURREY,26A,AVE,,5915004,Surrey,59,Surrey
49.13261,-122.81198,,131a561737a7ad46ac24,7118121,7138,148 St,148,St,,,SURREY,,7138 148 St,SURREY,148,ST,,5915004,Surrey,59,Surrey
50.65415,-120.28509,,131a5ce2a9fbed6b23e4,7468976,1940,HIGH SCHYLEA DR,HIGH SCHYLEA,DR,,,,,1940 HIGH SCHYLEA DR,KAMLOOPS,HIGH SCHYLEA,DR,,5933042,Kamloops,59,Kamloops
50.25651,-119.31014,,131a95fcf6522f3344e7,7554247,2716,HOWSER PL,,,,,,,2716 HOWSER PL,VERNON,HOWSER,PL,,5937014,Vernon,59,Vernon
49.23777,-122.87264,,131ac1b13b4611151dcd,7288901,221,Blue Mountain St,Blue Mountain,St,,103,,V3K 4H3,221 Blue Mountain St 103,COQUITLAM,BLUE MOUNTAIN,ST,,5915034,Coquitlam,59,Coquitlam
48.42886,-123.36244,,131ac2f24e21be0a852d,7385176,770,CORMORANT ST,,,,605,,,605 770 CORMORANT ST,VICTORIA,CORMORANT,ST,,5917034,Victoria,59,City of Victoria
49.23051,-123.02743,7560788,131ac81ecb8f74bbfd78,7214433,5878,ARLINGTON ST,,,,,,,5878 ARLINGTON ST,VANCOUVER,ARLINGTON,ST,,5915022,Vancouver,59,Vancouver
49.09641,-122.42161,,131ad0bcaab64c640de4,6982518,28976,HAVERMAN RD,,,,,,,28976 HAVERMAN RD,ABBOTSFORD,HAVERMAN,RD,,5909052,Abbotsford,59,City of Abbotsford
49.14337,-122.63557,,131ad14013084f41e1b8,7028941,7760,211B ST,,,,,LANGLEY,,7760 211B ST,LANGLEY,211B,ST,,5915001,Langley,59,Township of Langley
50.87979,-119.40217,cch00267,131ad3d305b3a8cee535,7568553,2861,Hilltop Rd,,,,,,,2861 Hilltop Rd,COLUMBIA-SHUSWAP,HILLTOP,RD,,5939037,Columbia-Shuswap C,59,Columbia-Shuswap
49.20622,-122.92474,,131b0d13da8891b1fadd,7268781,1021,FOURTH AVE,,,,106,NEW WESTMINSTER,V3M 1T3,106 1021 FOURTH AVE,NEW WESTMINSTER,4,AVE,,5915029,New Westminster,59,City of New Westminster
49.12106,-122.71022,,131b13f831b0c3980139,7093145,18472,65 Ave,65,Ave,,,SURREY,,18472 65 Ave,SURREY,65,AVE,,5915004,Surrey,59,Surrey
49.24705,-123.10916,10779345,131b197749c8bfc6786c,7149861,162,PEVERIL AV,,,,,,,162 PEVERIL AV,VANCOUVER,PEVERIL,AV,,5915022,Vancouver,59,Vancouver
49.10908,-122.84817,,131b27522fe3f23fbf15,7106810,5850,135 St,135,St,,,SURREY,,5850 135 St,SURREY,135,ST,,5915004,Surrey,59,Surrey
49.19591,-123.96353,,131b298d8597cae77167,7399354,133,CILAIRE DRIVE,,,,,,V9S 3E2,133 CILAIRE DRIVE,NANAIMO,CILAIRE DRIVE,,,5921007,Nanaimo,59,Nanaimo
49.88536,-119.40694,,131b2d0eccba60ea0330,7516293,4 350,Davie Rd,Davie,Rd, ,,,,4 350 Davie Rd,KELOWNA,DAVIE,RD,,5935010,Kelowna,59,City of Kelowna
49.04198,-122.85504,,131b38813fdf1eaaf1c3,7054027,13243,21A Ave,21A,Ave,,,SURREY,,13243 21A Ave,SURREY,21A,AVE,,5915004,Surrey,59,Surrey
49.25166,-123.17465,11128933,131b6bf50c73d66c743f,7180570,3128,W 23RD AV,,,,,,,3128 W 23RD AV,VANCOUVER,23,AV,W,5915022,Vancouver,59,Vancouver
50.69585,-120.36154,,131b7434790bc910b846,7462626,116,WILLOW ST,WILLOW,ST,,,,,116 WILLOW ST,KAMLOOPS,WILLOW,ST,,5933042,Kamloops,59,Kamloops
